Business Name,LatLong,Street Address,Address Line 2,City,State,Zip Code,Website,Phone,Neighborhood / Region,Region,Seattle Neighborhood,Accommodations,Food & Drink,Museums & Attractions,Retail,Services,Things To Do,Transportation
Motif Seattle,"47.610059, -122.335572",1415 Fifth Ave,,Seattle,Washington,98101,https://bit.ly/2QxSIV2,(206) 971-8000,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Moxy Seattle,"47.623519, -122.336254",1016 Republican st,,Seattle,Washington,98107,http://www.Marriott.com/SEAOX,(206) 708-8200,South Lake Union,Seattle,South Lake Union,Accommodations,,,,,,
Mr. Naturalz salon,"47.478259, -122.205328","334 Wells Ave S, Suite D",,Renton,Washington,98057,http://Www.mrnaturalz.com.,(425) 228-0582,Renton,Renton,,,,,Retail,Services,Things To Do,
Musang,"47.580190, -122.312957",2524 Beacon Avenue South,,Seattle,Washington,98144,http://musangSeattle.com,(206) 708-6871,Beacon Hill,Seattle,Beacon Hill,,Food &amp; Drink,,,,,
Museum of History & Industry (MOHAI),"47.627777, -122.336624",860 Terry Avenue N,,Seattle,Washington,98109,http://www.mohai.org,(206) 324-1126,South Lake Union,Seattle,South Lake Union,,,Museums &amp; Attractions,,,,
Museum of Pop Culture (MoPOP),"47.621627, -122.348261",325 5th Ave. N,,Seattle,Washington,98109,http://MoPOP.org,(206) 770-2700,South Lake Union,Seattle,South Lake Union,,,Museums &amp; Attractions,,,Things To Do,
Nana's Southern Kitchen,"47.372743, -122.204531",10234 SE 256th St,,Kent,Washington,98030,http://www.nanassouthernway.com,(253) 243-6711,Kent,Kent,,,Food &amp; Drink,,,,,
"Northwest Event Technology, dba Big Rock Productions","47.771224, -122.149255",14269 NE 200th Street,,Woodinville,Washington,98072,http://www.bigrockproductions.com,(425) 702-0444,Woodinville,Woodinville,,,,,,Services,,
Novelty Hill Januik Winery,"47.735038, -122.152994",14710 NE Woodinville-Redmond Rd NE,,Woodinville,Washington,98072,https://www.noveltyhilljanuik.com/,(206) 660-1055,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Optimism Brewing Company,"47.612854, -122.320381",1158 Broadway,,Seattle,Washington,98122,http://optimismbrewing.com,(206) 651-5429,Capitol Hill,Seattle,Capitol Hill,,Food &amp; Drink,,,,,
Pablo y Pablo,"47.648069, -122.338586",1605 North 34th Street,,Seattle,Washington,98103,https://pabloypablo.com,(206) 973-3505,Wallingford,Seattle,Wallingford,,Food &amp; Drink,,,,,
Pacific Ballroom Dance,"47.307088, -122.228528",,,Auburn,Washington,98001,https://pacificballroom.org,(253) 939-6524,Auburn,Auburn,,,,,,,Things To Do,
Pacific Bonsai Museum,"47.301882, -122.300319",2515 S 336th Street,,Federal Way,Washington,98001,http://www.pacificbonsaimuseum.org,(253) 353-7345,Federal Way,Federal Way,,,,Museums &amp; Attractions,,,,
Palisade Restaurant,"47.630388, -122.391803",2601 W Marine Pl,,Seattle,Washington,98119,http://www.palisaderestaurant.com,(206) 285-1000,Queen Anne,Seattle,Queen Anne,,Food &amp; Drink,,,,,
Pan Pacific Seattle,"47.618222, -122.337333",2125 Terry Avenue,,Seattle,Washington,98121,http://www.panpacificSeattle.com,(206) 264-8111,South Lake Union,Seattle,South Lake Union,Accommodations,,,,,,
Paramount Hotel Seattle,"47.613159, -122.333679",724 Pine Street,,Seattle,Washington,98101,http://www.paramounthotelSeattle.com,(206) 292-9500,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Park Public House,"47.673583, -122.354132",6114 Phinney Ave N,,Seattle,Washington,98103,http://theparkpub.com,(206) 789-8187,Phinney Ridge,Seattle,Phinney Ridge,,Food &amp; Drink,,,,,
Peddler Brewing Company,"47.663791, -122.377103",1514 NW Leary Way,,Seattle,Washington,98107,http://www.peddlerbrewing.com,(360) 362-0002,Ballard,Seattle,Ballard,,Food &amp; Drink,,,,,
PhysioCare Physical Therapy,"47.739016, -121.985232",15315 1st Ave NE,,Duvall,Washington,98019,http://physiocarept.com,(425) 788-0505,Duvall,Duvall,,,,,,Services,,
PhysioCare Physical Therapy,"47.755583, -122.151851",17618 140th Ave NE,,Woodinville,Washington,98072,http://www.physiocarept.com,(425) 402-9772,Woodinville,Woodinville,,,,,,Services,,
Pike Brewing Company,"47.608231, -122.339779",1415 1st Avenue,,Seattle,Washington,98101,http://www.pikebrewing.com,(206) 622-6044,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,Museums &amp; Attractions,,,,
Pike Place Market,"47.608781, -122.340572","85 Pike Street, Room 500",,Seattle,Washington,98101,http://PikePlaceMarket.org,(206) 774-5278,All,Seattle,Downtown,,Food &amp; Drink,Museums &amp; Attractions,Retail,Services,Things To Do,
Pondera Winery,"47.769324, -122.150580",19501 144th Ave NE B400,,Woodinville,Washington,98072,http://www.ponderawinery.com,(425) 486-8500,Woodinville,Woodinville,,,Food &amp; Drink,,,,Things To Do,
Port of Seattle Fishermen's Terminal office,"47.655333, -122.380537",3919 18th Avenue West,,Seattle,Washington,98119,https://www.portSeattle.org/maritime/fishermen-terminal,(206) 787-7626,Ballard,Seattle,Ballard,,,,,,,Transportation
Port of Seattle Terminal 91 Commercial office A500,"47.632933, -122.380111",2001 West Garfield Street,A500 building,Seattle,Washington,98119,https://www.portSeattle.org/places/terminal-91-location,(206) 787-4935,Waterfront,Seattle,Waterfront,,,,,,,Transportation
PRA,"47.606336, -122.332033",,,Seattle,Washington,98104,https://pra.com,(206) 850-5339,All,All,,,,,,Services,Things To Do,Transportation
"Premier Coaches Northwest, Inc","47.367512, -122.231753",1315 Central Avenue South,Suite D,Kent,Washington,98032,http://www.premiercoachesnw.com,(253) 529-1655,All,All,,,,,,,,Transportation
Purple Café and Wine Bar,"47.607932, -122.335112",1225 4th Avenue,,Seattle,Washington,98101,https://www.purplecafe.com,(206) 829-2280,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Purple Café and Wine Bar,"47.731774, -122.142119",14459 Woodinville-Redmond Road NE,,Woodinville,Washington,98072,https://www.purplecafe.com,(425) 483-7129,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Rays Boathouse,"47.673437, -122.407322",6049 Seaview Ave NW,,Seattle,Washington,98107,http://www.rays.com,(206) 926-0824,Ballard,Seattle,Ballard,,Food &amp; Drink,,,,,
Renaissance Seattle,"47.606750, -122.330885",515 Madison Street,,Seattle,Washington,98104,http://www.renaissanceSeattle.com,(206) 694-4981,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
Residence Inn Seattle Downtown Convention Center,"47.615704, -122.333027",1815 Terry Avenue,,Seattle,Washington,98101,http://www.Marriott.com/SEAAV,(206) 388-1000,Downtown Seattle,Seattle,Downtown,Accommodations,,,,,,
Rocky Pond Estate Winery,"47.751607, -122.159551",13745 NE Village Square Drive,Suite 1010,Woodinville,Washington,98072,http://www.rockypondwinery.com,(425) 949-9044,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Salish Lodge & Spa,"47.542613, -121.837004",6501 Railroad Ave,,Snoqualmie,Washington,98065,http://Salishlodge.com,(800) 272-5474,Snoqualmie,Snoqualmie,,Accommodations,Food &amp; Drink,,Retail,,Things To Do,
Savor Seattle,"47.608398, -122.341587","1501 Western Ave, Suite 301",,Seattle,Washington,98101,http://www.savorSeattletours.com,(206) 601-3495,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,Services,,
Seahawks/Sounders Pro Shop,"47.610586, -122.336168",410 Pike Street,,Seattle,Washington,98101,http://www.seahawks.com/Proshop,(206) 467-3115,All,Seattle,Downtown,,,,Retail,,,
Seattle Aquarium,"47.607566, -122.342919",1483 Alaskan Way,Pier 59,Seattle,Washington,98101,http://Seattleaquarium.org,(206) 386-4300,Waterfront,Seattle,Waterfront,,,Museums &amp; Attractions,,,,
Seattle Architecture Foundation,"47.604693, -122.337442",1010 Western Ave,,Seattle,Washington,98104,http://Seattlearchitecture.org,(206) 667-9184,All,All,,,,Museums &amp; Attractions,,,Things To Do,
Seattle Center Monorail,"47.621258, -122.349434",370 Thomas St,,Seattle,Washington,98109,http://Seattlemonorail.com,(206) 905-2600,Queen Anne,Seattle,Queen Anne,,,,,,,Transportation
Seattle Chocolate Factory,"47.443321, -122.253650",1180 Andover Park W,,Tukwila,Washington,98188,http://Seattlechocolate.com,(425) 246-2705,Tukwila,Tukwila,,,,,,,Things To Do,
Seattle Design Center,"47.551522, -122.328294",5701 6th Ave. S,Suite 391,Seattle,Washington,98108,http://Seattledesigncenter.com,(206) 957-7032,Georgetown,Seattle,Georgetown,,,,,Services,,
Seattle Dive Tours,"47.581093, -122.385925",4217 SW Admiral Way,,Seattle,Washington,98116,http://Seattledivetours.com,(206) 265-0006,West Seattle,Seattle,West Seattle,,,,Retail,Services,Things To Do,
Seattle Glassblowing Studio,"47.615662, -122.342809",2227 5th Ave,,Seattle,Washington,98121,http://www.Seattleglassblowing.com,(206) 448-2181,Belltown,Seattle,Belltown,,,Museums &amp; Attractions,Retail,Services,Things To Do,
Seattle Royal Town Car & Limo,"47.606336, -122.332033",,,Seattle,Washington,98036,http://www.SeattleRoyalTownCar.com,(866) 349-1199,All,All,,,,,,,,Transportation
Seattle-Tacoma International Airport (SEA),"47.443773, -122.300064",17801 International Blvd,,SeaTac,Washington,98158,https://flysea.org/,(206) 787-5388,SeaTac,SeaTac,,,Food &amp; Drink,,,,,Transportation
Serious Pie Downtown Seattle,"47.612909, -122.340588",316 Virginia Street,,Seattle,Washington,98121,http://www.seriouspieSeattle.com,(206) 838-7388,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,,,,,
Serious TakeOut Ballard,"47.666158, -122.373426",5118 14th Avenue NW,,Seattle,Washington,98107,http://www.seriouspieSeattle.com,(206) 971-0711,Ballard,Seattle,Ballard,,Food &amp; Drink,,,,,
Shaker & Spear,"47.612035, -122.341618",2000 2nd Avenue,,Seattle,Washington,98121,https://www.shakerandspear.com/,(206) 826-1700,Belltown,Seattle,Belltown,,Food &amp; Drink,,,,,
Sharps Roasthouse,"47.437209, -122.296157",18427 International Boulevard,,SeaTac,Washington,98188,https://www.sharpsroasthouse.com,(206) 241-5744,SeaTac,SeaTac,,,Food &amp; Drink,,,,,
SHWorldwide,"47.622709, -122.358470","100 West Harrison St., Ste. S-370",,Seattle,Washington,98177,http://www.shworldwide.com,(206) 778-2086,Queen Anne,Seattle,Queen Anne,Accommodations,Food &amp; Drink,,,Services,Things To Do,Transportation
Sky View Observatory,"47.604778, -122.330398",700 4th Avenue,,Seattle,Washington,98104,https://www.skyviewobservatory.com/,(206) 386-5564,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,Museums &amp; Attractions,,,Things To Do,
Sleep Inn,"47.418327, -122.296365",20406 International Blvd,,SeaTac,Washington,98198,http://www.choicehotels.com,(206) 878-3600,SeaTac,SeaTac,,Accommodations,,,,,,
Smith Tower,"47.601878, -122.331869",506 Second Ave,,Seattle,Washington,98104,http://www.smithtower.com,(206) 624-0414,Pioneer Square,Seattle,Pioneer Square,,Food &amp; Drink,Museums &amp; Attractions,,,Things To Do,
Snapdoodle Toys & Games,"47.691064, -122.356914",120 N 85th St,,Seattle,Washington,98103,http://www.snapdoodletoys.com,(206) 782-0098,Greenlake,Seattle,Greenlake,,,,Retail,,,
Snapdoodle Toys & Games,"47.542662, -122.019234",1527 Highlands Dr NE #110,,Issaquah,Washington,98029,http://www.snapdoodletoys.com,(425) 651-2838,Issaquah,Issaquah,,,,,Retail,,,
Snapdoodle Toys & Games,"47.757520, -122.242381",7330 NE Bothell Way,,Kenmore,Washington,98028,http://www.snapdoodletoys.com,(425) 408-0021,Kenmore,Kenmore,,,,,Retail,,,
Space Needle,"47.620583, -122.349371",400 Broad Street,,Seattle,Washington,98109,http://www.spaceneedle.com,(206) 905-2100,Downtown Seattle,Seattle,Downtown,,Food &amp; Drink,Museums &amp; Attractions,Retail,,Things To Do,
Sparkman Cellars,"47.734940, -122.148597","14300 NE 145th St., Suite 102",,Woodinville,Washington,98072,http://www.sparkmancellars.com,(425) 398-1045,Woodinville,Woodinville,,,Food &amp; Drink,,Retail,,,
Spencer's for Steaks and Chops,"47.444190, -122.294968",17620 International Blvd,,SeaTac,Washington,98188,http://Seattleairport.hilton.com,(206) 244-4800,SeaTac,SeaTac,,,Food &amp; Drink,,,,,
SpringHill Suites Issaquah,"47.542740, -122.056628",1185 NW Maple St,,Issaquah,Washington,98027,https://www.marriott.com/seaxs,(425) 434-4173,Issaquah,Issaquah,,Accommodations,,,,,,
SpringHill Suites Seattle,"47.617939, -122.329891",1800 Yale Avenue,,Seattle,Washington,98101,http://www.shsSeattle.com,(206) 254-0500,South Lake Union,Seattle,South Lake Union,Accommodations,Food &amp; Drink,,,,,
Stoneburner,"47.666152, -122.382744",5214 Ballard Ave NW,,Seattle,Washington,98107,http://www.stoneburnerSeattle.com,(206) 695-2051,Ballard,Seattle,Ballard,,Food &amp; Drink,,,,,
Taylor Tasting Tours,"47.606336, -122.332033",,,Seattle,Washington,98199,http://taylortastingtours.com,(206) 281-0193,Queen Anne,Seattle,Queen Anne,,Food &amp; Drink,,,Services,Things To Do,
The Charter Hotel,"47.610874, -122.340110",1610 2nd Ave,,Seattle,Washington,98101,http://www.thecharterSeattle.com,(206) 256-7500,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
The Commons,"47.732314, -122.142020",14481 Woodinville-Redmond Road NE,,Woodinville,Washington,98072,https://thecommonscafe.com,(425) 892-7012,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
The Grove West Seattle Inn,"47.561573, -122.376983",3512 SW Alaska Street,,Seattle,Washington,98126,http://grovewestSeattle.com,(206) 937-9920,West Seattle,Seattle,West Seattle,Accommodations,,,,,,
The Heathman Hotel Kirkland,"47.675705, -122.203664",220 Kirkland Avenue,,Kirkland,Washington,98033,https://www.heathmankirkland.com/,(425) 284-5800,Kirkland,Kirkland,,Accommodations,,,,,,
The Herbfarm,"47.733281, -122.147325",14590 NE 145th St,,Woodinville,Washington,98072,http://www.theherbfarm.com,(425) 485-5300,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
The Maxwell Hotel,"47.625685, -122.350859",300 Roy St,,Seattle,Washington,98109,https://www.staypineapple.com/the-maxwell-hotel-Seattle-wa,(206) 286-0629,Queen Anne,Seattle,Queen Anne,Accommodations,,,,,,
The Nest Rooftop,"47.610675, -122.341168",110 Stewart Street,,Seattle,Washington,98101,https://www.thompsonhotels.com/hotels/washington/Seattle/thompson-Seattle/eat-and-drink/the-nest,(206) 623-4600,Belltown,Seattle,Belltown,,Food &amp; Drink,,,,,
The Pioneer Collective,"47.598545, -122.333775",100 South King Street,Suite 100,Seattle,Washington,98104,https://www.thepioneercollective.com,(425) 442-5119,Pioneer Square,Seattle,Pioneer Square,,,,,Services,,
The Pizza Coop & Ale House,"47.754062, -122.161180",13317 NE NE 175th St Ste X,,Woodinville,Washington,98072,http://www.thepizzacoop.com,(425) 415-8415,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
The Rendezvous,"47.614699, -122.346217",2322 2nd Avenue,,Seattle,Washington,98121,http://TheRendezvous.Rocks,(206) 441-5823,Belltown,Seattle,Belltown,,Food &amp; Drink,Museums &amp; Attractions,,,Things To Do,
The Shop Club,"47.582878, -122.326778",2233 6th Ave S,,Seattle,Washington,98134,http://www.theshopclubs.com/Seattle,(817) 422-4505,SoDo,Seattle,SoDo,,Food &amp; Drink,Museums &amp; Attractions,Retail,Services,Things To Do,
The Spa at Cedarbrook,"47.437348, -122.287681",18525 36th Avenue South,,SeaTac,Washington,98188,http://www.cedarbrooklodge.com/spa.php,(206) 214-4159,SeaTac,SeaTac,,,,,,Services,,
The SPA at Salish Lodge & Spa,"47.542613, -121.837004",6501 Railroad Ave,,Snoqualmie,Washington,98065,http://Salishlodge.com,(425) 831-6502,Snoqualmie,Snoqualmie,,,,,Retail,Services,Things To Do,
The State Hotel,"47.609414, -122.339346",1501 2nd Avenue,,Seattle,Washington,98101,http://www.statehotel.com,(206) 513-7300,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,,,
The Westin Seattle,"47.613872, -122.338119",1900 5th Avenue,,Seattle,Washington,98101,http://westinSeattle.com,(206) 728-1000,Federal Way,Seattle,Downtown,Accommodations,Food &amp; Drink,,Retail,,Things To Do,
Thompson Seattle,"47.610569, -122.341290",110 Stewart Street,,Seattle,Washington,98101,http://www.thompsonSeattle.com,(206) 623-4600,Belltown,Seattle,Belltown,Accommodations,,,,,,
Timbuk2,"47.612428, -122.333927",1532 7th Ave,,Seattle,Washington,98101,http://www.timbuk2.com,(206) 489-2102,Downtown Seattle,Seattle,Downtown,,,,Retail,,,
Tinte Cellars,"47.731695, -122.142102",14455 Woodinville-Redmond Rd.,,Woodinville,Washington,98072,https://tintecellars.com/,(425) 659-9463,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Togo's Sandwiches,"47.385665, -122.236170",438 Ramsay Way,Suite 111,Kent,Washington,98032,https://online.togos.com/menu/Kent-ramsay-way,(253) 656-0123,Kent,Kent,,,Food &amp; Drink,,,,,
Tolo Events,"47.615317, -122.352115",2717 Western Ave,Ste 1106,Seattle,Washington,98121,http://www.toloevents.com,(206) 962-0012,South Park,Seattle,Belltown,,,,,Services,,
Torii Mor Winery,"47.733712, -122.142496",14525 148th Ave NE,Ste 114,Woodinville,Washington,98072,http://www.toriimorwinery.com,(425) 908-7111,Woodinville,Woodinville,,,Food &amp; Drink,,Retail,,,
Totally Seattle Tours,"47.544208, -122.387462",6523 California Ave,#38,Seattle,Washington,98136,https://totallySeattle.com/,(917) 428-8525,West Seattle,Seattle,West Seattle,,,,,Services,Things To Do,Transportation
Touch Worldwide,"47.602303, -122.332014",524 2nd Ave.,#200,Seattle,Washington,98104,http://www.touchworldwide.com,(206) 567-7100,Downtown Seattle,Seattle,Downtown,,,,,Services,,
Tours Northwest,"47.606336, -122.332033",,,Seattle,Washington,98108,http://www.ToursNW.com,(206) 768-1234,Downtown Seattle,Seattle,Downtown,,,,,,Things To Do,Transportation
Town Hall Seattle,"47.609034, -122.330067",1119 8th Avenue,,Seattle,Washington,98101,http://www.townhallSeattle.org,(206) 652-4255,Downtown Seattle,Seattle,Downtown,,,Museums &amp; Attractions,,,,
TownePlace & Suites by Marriott,"47.439682, -122.244132","18123, 72nd Ave S",,Kent,Washington,98032,http://Marriott.com/SEAKT,(253) 796-6000,Kent,Kent,,Accommodations,,,,,,
Triplehorn Brewing Co,"47.769408, -122.146452",19510 144th Ave NE,Ste E6,Woodinville,Washington,98072,http://Www.triplehornbrewing.com,(425) 242-7979,Woodinville,Woodinville,,,Food &amp; Drink,,Retail,,Things To Do,
TruthTeller Winery,"47.751740, -122.159429",13590 NE Village Square Dr.,#1045,Woodinville,Washington,98072,http://truthtellerwinery.com,(425) 985-3568,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Tutta Bella,"47.618269, -122.337617",2200 Westlake Ave,Suite 112,Seattle,Washington,98118,http://www.tuttabella.com,(206) 624-4422,South Lake Union,Seattle,South Lake Union,,Food &amp; Drink,,,,,
Tutta Bella Neapolitan Pizzeria,"47.618005, -122.130438","15600 NE 8th Street, Ste J-1",,Bellevue,Washington,98251,http://tuttabella.com,(425) 502-7402,Bellevue,Bellevue,,,Food &amp; Drink,,,,,
Tutta Bella Neapolitan Pizzeria,"47.557203, -122.284488",4918 Ranier Ave South,,Seattle,Washington,98118,http://tuttabella.com,(206) 721-3501,Columbia City,Seattle,Columbia City,,Food &amp; Drink,,,Services,Things To Do,
Tutta Bella Neapolitan Pizzeria,"47.543006, -122.047672",715 NW Gilman Blvd,,Issaquah,Washington,98027,http://Www.tuttabella.com,(425) 391-6838,Issaquah,Issaquah,,,Food &amp; Drink,,,,,
Uneeda Burger,"47.659521, -122.349745",4302 Fremont Avenue,,Seattle,Washington,98103,http://Uneedaburger.com,(206) 547-2600,Fremont,Seattle,Fremont,,Food &amp; Drink,,,,,
Unexpected Productions Improv,"47.608391, -122.340293",1428 Post Alley,,Seattle,Washington,98101,http://www.unexpectedproductions.org,(206) 587-2414,Downtown Seattle,Seattle,Downtown,,,Museums &amp; Attractions,,,,
University Inn,"47.658303, -122.317422",4140 Roosevelt Way NE,,Seattle,Washington,98105,https://www.staypineapple.com/university-inn-Seattle-wa,(206) 632-5055,University District,Seattle,University District,Accommodations,,,,,,
Urban Sprouts,"47.479835, -122.207051",724 S 3rd Street,Suite B,Renton,Washington,98057,http://www.urbansproutsstore.com,(206) 789-0710,Renton,Renton,,,,,Retail,,,
Village Theatre,"47.533085, -122.036768",303 Front Street N,,Issaquah,Washington,98027,http://www.villagetheatre.org,(425) 392-1942,Issaquah,Issaquah,,,,Museums &amp; Attractions,,,,
Visit Ballard,"47.666634, -122.383299",5306 Ballard Avenue NW,Suite 216,Seattle,Washington,32082,http://www.visitballard.com,(206) 784-9705,Ballard,Seattle,Ballard,Accommodations,Food &amp; Drink,Museums &amp; Attractions,Retail,Services,Things To Do,
Vivi pizzeria,"47.733086, -122.142643",14505 148th ave ne,,Woodinville,Washington,98072,http://Vivipizzeria.com,(425) 408-0711,Woodinville,Woodinville,,,Food &amp; Drink,,,,,
Washington Athletic Club,"47.609598, -122.333605",1325 Sixth Avenue,,Seattle,Washington,98101,http://wac.net,(206) 622-7900,Downtown Seattle,Seattle,Downtown,Accommodations,Food &amp; Drink,,,Services,Things To Do,
Water's Table,"47.502831, -122.205302",1053 Lake Washington Blvd. N,,Renton,Washington,98056,https://waterstable.com/,(425) 207-2240,Renton,Renton,,,Food &amp; Drink,,,,,
Watertown Hotel,"47.659722, -122.317398",4242 Roosevelt Way NE,,Seattle,Washington,98105,https://www.staypineapple.com/watertown-hotel-Seattle-wa,(206) 826-4242,University District,Seattle,University District,Accommodations,,,,,,
Waterways Cruises and Events,"47.651176, -122.329835",2441 N Northlake Way,,Seattle,Washington,98103,https://www.waterwayscruises.com/,(206) 223-2060,Wallingford,Seattle,Wallingford,,Food &amp; Drink,,,,Things To Do,
Willows Lodge,"47.733848, -122.146998",14580 NE 145th St.,,Woodinville,Washington,98072,https://www.willowslodge.com,(425) 424-3900,Woodinville,Woodinville,,Accommodations,Food &amp; Drink,,,,,
Wingate by Wyndham SeaTac Airport,"47.431916, -122.295637",19031 International Blvd,,SeaTac,Washington,98188,https://www.wyndhamhotels.com/wingate/seatac-washington/wingate-seatac-airport/overview,(206) 242-8686,SeaTac,SeaTac,,Accommodations,,,,,,
Woodland  Park Zoo,"47.668620, -122.353992",5500 Phinney Avenue North,,Seattle,Washington,98103,http://www.zoo.org,(206) 548-2423,Phinney Ridge,Seattle,Phinney Ridge,,,Museums &amp; Attractions,,,,
Woodmark Hotel & Still Spa,"47.656837, -122.207100",1200 Carillon Point,,Kirkland,Washington,98033,https://www.thewoodmark.com/,(425) 822-3700,Kirkland,Kirkland,,Accommodations,Food &amp; Drink,,Retail,Services,Things To Do,
